net_id,from_id,to_id,value
2005-06-30,ES,AT,3615
2005-06-30,ES,BE,19250
2005-06-30,ES,CL,31
2005-06-30,ES,TW,158
2005-06-30,ES,FR,78900
2005-06-30,ES,DE,131107
2005-06-30,ES,GR,450
2005-06-30,ES,IT,10391
2005-06-30,ES,JP,18554
2005-06-30,ES,NL,73155
2005-06-30,ES,PT,11673
2005-06-30,ES,SE,2307
2005-06-30,ES,CH,12327
2005-06-30,ES,TR,15
2005-06-30,ES,GB,75796
2005-06-30,ES,US,24053
2005-06-30,SE,5A,108974
2005-06-30,SE,AU,411
2005-06-30,SE,AT,738
2005-06-30,SE,BE,2097
2005-06-30,SE,CL,2
2005-06-30,SE,TW,181
2005-06-30,SE,FR,7103
2005-06-30,SE,DE,27381
2005-06-30,SE,GR,46
2005-06-30,SE,IT,1234
2005-06-30,SE,JP,7593
2005-06-30,SE,NL,16898
2005-06-30,SE,PT,276
2005-06-30,SE,ES,2773
2005-06-30,SE,TR,150
2005-06-30,SE,GB,14532
2005-06-30,SE,US,8582
2005-06-30,CH,5A,199953
2005-06-30,CH,AU,2818
2005-06-30,CH,AT,6894
2005-06-30,CH,BE,9616
2005-06-30,CH,CL,14
2005-06-30,CH,TW,813
2005-06-30,CH,FR,40296
2005-06-30,CH,DE,50735
2005-06-30,CH,GR,122
2005-06-30,CH,IT,5719
2005-06-30,CH,JP,10736
2005-06-30,CH,NL,12474
2005-06-30,CH,PT,1145
2005-06-30,CH,ES,3161
2005-06-30,CH,SE,1506
2005-06-30,CH,TR,406
2005-06-30,CH,GB,28655
2005-06-30,CH,US,16137
2005-06-30,TR,5A,42419
2005-06-30,TR,AU,82
2005-06-30,TR,AT,772
2005-06-30,TR,BE,1537
2005-06-30,TR,TW,71
2005-06-30,TR,FR,5157
2005-06-30,TR,DE,10016
2005-06-30,TR,GR,349
2005-06-30,TR,IT,1175
2005-06-30,TR,JP,1645
2005-06-30,TR,PT,575
2005-06-30,TR,ES,261
2005-06-30,TR,SE,232
2005-06-30,TR,GB,7785
2005-06-30,TR,US,6156
2005-06-30,GB,5A,2314814
2005-06-30,GB,AU,63546
2005-06-30,GB,AT,22714
2005-06-30,GB,BE,102982
